native name	native version	minSDK	targetSDK	URLs							
belvedere	3.0.0-RC	16	30	https://zendesk.jfrog.io/artifactory/repo/com/zendesk/belvedere2/				https://github.com/zendesk/belvedere/tree/master/belvedere			
belvedere-core	3.0.0-RC	16	30					https://github.com/zendesk/belvedere/tree/master/belvedere-core			
common-ui	4.0.1	16	29	https://zendesk.jfrog.io/artifactory/repo/com/zendesk/common-ui/							
sdk-configurations	2.0.0	16	29	https://zendesk.jfrog.io/artifactory/repo/com/zendesk/sdk-configurations/							
core	4.0.2	16	29	https://zendesk.jfrog.io/artifactory/repo/com/zendesk/core/							
guide	1.0.1	16	29	https://zendesk.jfrog.io/artifactory/repo/com/zendesk/guide/							
guide-providers	1.0.1	16	29	https://zendesk.jfrog.io/artifactory/repo/com/zendesk/guide-providers/							
messaging	5.1.0	16	29								
messaging-api	5.0.1	16	29								
support-providers	5.0.2	16	29								
support	5.0.2	16	29								
java-common	1.14			https://zendesk.jfrog.io/artifactory/repo/com/zendesk/java-common/							
suas	1.2.0			https://mvnrepository.com/artifact/com.zendesk.suas/suas/1.2.0				https://github.com/e2po/Suas-Android			https://search.maven.org/artifact/com.zendesk.suas/suas/1.2.0/jar
